optimizer,data,step,filter1,filter2,accuracy,val_accuracy,precision,val_precision,recall,val_recall,tp,val_tp,tn,val_tn,fp,val_fp,fn,val_fn
fixed,normal,50,64,256,0.8971962332725525,0.8837209343910217,0.8181818127632141,0.8333333134651184,0.6994818449020386,0.5555555820465088,135.0,25.0,633.0,165.0,30.0,5.0,58.0,20.0
fixed,normal,100,64,256,0.9112149477005005,0.8976744413375854,0.8726114630699158,0.7948718070983887,0.7098445892333984,0.6888889074325562,137.0,31.0,643.0,162.0,20.0,8.0,56.0,14.0
fixed,normal,150,64,256,0.9264018535614014,0.8930232524871826,0.8963414430618286,0.8055555820465088,0.7616580128669739,0.644444465637207,147.0,29.0,646.0,163.0,17.0,7.0,46.0,16.0
fixed,normal,200,64,256,0.9345794320106506,0.9069767594337463,0.910179615020752,0.8571428656578064,0.787564754486084,0.6666666865348816,152.0,30.0,648.0,165.0,15.0,5.0,41.0,15.0
fixed,normal,250,64,256,0.9357476830482483,0.9116278886795044,0.9312499761581421,0.824999988079071,0.772020697593689,0.7333333492279053,149.0,33.0,652.0,163.0,11.0,7.0,44.0,12.0
fixed,normal,300,64,256,0.9427570104598999,0.9255813956260681,0.9285714030265808,0.9142857193946838,0.8082901835441589,0.7111111283302307,156.0,32.0,651.0,167.0,12.0,3.0,37.0,13.0
fixed,normal,50,96,128,0.8703271150588989,0.8604651093482971,0.8059701323509216,0.7027027010917664,0.5595855116844177,0.5777778029441833,108.0,26.0,637.0,159.0,26.0,11.0,85.0,19.0
fixed,normal,100,96,128,0.8936915993690491,0.8790697455406189,0.8493150472640991,0.7714285850524902,0.6424870491027832,0.6000000238418579,124.0,27.0,641.0,162.0,22.0,8.0,69.0,18.0
fixed,normal,150,96,128,0.8995327353477478,0.869767427444458,0.8543046116828918,0.707317054271698,0.6683937907218933,0.644444465637207,129.0,29.0,641.0,158.0,22.0,12.0,64.0,16.0
fixed,normal,200,96,128,0.90887850522995,0.8883720636367798,0.8443113565444946,0.8620689511299133,0.7305699586868286,0.5555555820465088,141.0,25.0,637.0,166.0,26.0,4.0,52.0,20.0
fixed,normal,250,96,128,0.9193925261497498,0.9069767594337463,0.8690476417541504,0.8571428656578064,0.7564767003059387,0.6666666865348816,146.0,30.0,641.0,165.0,22.0,5.0,47.0,15.0
fixed,normal,300,96,128,0.9217289686203003,0.9023255705833435,0.893750011920929,0.8333333134651184,0.7409326434135437,0.6666666865348816,143.0,30.0,646.0,164.0,17.0,6.0,50.0,15.0
